,name,username,description,location,followers,numberstatuses,time,tweets,url,lang,mentions,hashtags
1045,Maisara al-Ghereeb,maisaraghereeb,"Jihad is not terrorism, it's written in the Qur'an.",EU,197.0,1561.0,2016-01-11 20:00:05,RT : Shiite militias in #Diyala burning &amp; blowing up four Sunni mosques as of now in retaliation to #ISIS attacks.. #Iraq https…,[],en,['@RamiAlLolah'],"['#Diyala', '#ISIS', '#Iraq']"
1608,Maisara al-Ghereeb,maisaraghereeb,"Jihad is not terrorism, it's written in the Qur'an.",EU,197.0,1561.0,2016-01-26 20:00:12,"Lots of Muslims believe Islam is only based on 5 daily prayer, Jummah, Hajj and Ramadan.",[],en,[],[]
4225,PROPHET'S KHILĀFA,Battar_English,,,137.0,148.0,2016-02-12 19:00:06,RT : ,['https://t.co/Hhx9I1LSzc'],en,['@BatInfo147'],[]
1263,Abu_Azzam25,Abu_Azzzam25,,,35.0,118.0,2016-01-17 21:00:48,RT : Hafez #Assad deployed huge arsenal in Ayyash fearing attack/invasion by Saddam. 10s of surface-to-surface missiles are the…,[],en,['@RamiAlLolah'],['#Assad']
161,ابو الدرداء #خلافة,YazeedDhardaa25,Observing a JIHAD NEWS mainly about Islamic State.,,904.0,127.0,2015-09-05 19:00:02, That's an untold story. A painful reality,[],en,['@jtmharreh'],[]
1273,War Reporter,warreporter2,"Reporting, analysing and discussing conflicts and terrorist movements, with a focus primarily on MENA","München, Deutschland",139.0,656.0,2016-01-18 01:00:29,"RT : 3)The NEW episode will be exclusive and will be released today IA jzk wa salam
PLEASE remember the VS in your duas&amp;AQ 
We…",[],en,['@DidyouknowVS'],[]
1490,s.o.dawlah,1Dawlah_III,,,632.0,333.0,2016-01-24 00:00:24,"#WilayatHalab
Examination for masjid imams after attending a religious course in Akhtarin. 📷  ","['https://t.co/4MP7KsiTqm', 'https://t.co/O2dINikiSu']",en,[],['#WilayatHalab']
1407,War Reporter,warreporter2,"Reporting, analysing and discussing conflicts and terrorist movements, with a focus primarily on MENA","München, Deutschland",139.0,656.0,2016-01-21 22:00:02,"RT :   Will you make a book Called ""Badr #Shia brigades"" 'Inside the Army of Terror ? …",['https://t.co/BD'],en,"['@thevictoryseri4', '@hxhassan', '@dreadmuslim_']",['#Shia']
1386,Bilal Ibn Rabah,BilalIbnRabah1,May Allah bring Sharia to the west and save the people from thier own destruction.,,96.0,44.0,2016-01-20 21:00:37,"RT : in Dabiq #13, ISIS confirm death of ""Abu Muharib al-Muhajir... who made headlines around the world as Jihadi John” https://t.…",[],en,['@Raqqa_SL'],['#13']
1899,Al-Battar English,Al_Battar_Engl,,,117.0,144.0,2016-01-29 22:00:55,"#IslamicState
#WilayatDayala
Killed a senior commander of #Hashd rafidi (Mr. Sadiq) and 3 of his bodyguards with two explosives device in",[],en,[],"['#IslamicState', '#WilayatDayala', '#Hashd']"
2034,Abu Naseeha,AbuNaseeha_03,,Wilayah Twitter,1016.0,487.0,2016-01-30 20:00:08,"RT : #AmaqNewsAgency #InfoGraphic 
📷 | 3.5 Million dollars distributed by the Diwan of Zakah in Syria within a month. https://t…",[],en,['@1Dawlah_III'],"['#AmaqNewsAgency', '#InfoGraphic']"
1790,s.o.dawlah,1Dawlah_III,,,632.0,333.0,2016-01-29 11:00:36,"#WilayatNinawa
Constructing a playpark for children in the area of ​​al-Qusur, Mosul. 📷  ","['https://t.co/rPWLcJ9rsC', 'https://t.co/2LqEkV4Xe2']",en,[],['#WilayatNinawa']
2025,Al-Battar English,Al_Battar_Engl,,,117.0,144.0,2016-01-30 20:00:01,"#IslamicState
#WilayatSalahuddin

Fishing boats in the Lake #AlTharThar 



#Caliphate_News ","['https://t.co/vyAmGIyote', 'https://t.co/qDzPPHAnVW']",en,[],"['#IslamicState', '#WilayatSalahuddin', '#AlTharThar', '#Caliphate_News']"
10511,abutariq al mujahid,abutariq040,Walaa & Baraa,Among mushrikeen,62.0,29.0,2016-04-01 17:00:43,"RT : 💥BACK FROM SUSPENSION💥

#RETWEET | #SHOUTOUT | #FOLLOW

💉💉💉💉💉💉💉💉💉💉💉💉💉💉 ",['https://t.co/ZHjZ5lP9IX'],en,['@ImranIbnFareed4'],"['#RETWEET', '#SHOUTOUT', '#FOLLOW']"
1772,الولاء البراء,Alwala_bara,we hear & we obey..& those are the successful .. [24:51],أسير الدنيا,411.0,232.0,2016-01-29 02:00:18,RT : Make duaa' for Muslim prisoners in USA and all over the world. You can't imagine the nightmare they and their families…,[],en,['@ShaykhAhmadGems'],[]
1992,Abu Humayra,abuhumayra4,‏إِنَّ صَلَاتِي وَنُسُكِي وَمَحْيَايَ وَمَمَاتِي لِلَّهِ رَبِّ الْعَالَمِينَ,Among The Muslims,193.0,103.0,2016-01-30 16:00:47,RT : #IS Syrian soldiers conducted 2 istishhadi operations against #SAA in al-Hwiqah &amp; ar-Rishdiyyah in #DeirEzzor #ISIS https://t.c…,[],en,['@apb_is'],"['#IS', '#SAA', '#DeirEzzor', '#ISIS']"
1935,الولاء البراء,Alwala_bara,we hear & we obey..& those are the successful .. [24:51],أسير الدنيا,411.0,232.0,2016-01-30 08:00:30,"This dunya is a sad place..our ummah is being tested like never before. 
May اللّٰه keep us all firm on the deen ",['https://t.co/CK8JHb40SB'],en,[],[]
4217,PROPHET'S KHILĀFA,Battar_English,,,137.0,148.0,2016-02-12 19:00:06,RT : ,['https://t.co/WCrtW1wikv'],en,['@BatInfo147'],[]
607,abu baker aldimashqi,abubakerdimshqi,,,119.0,273.0,2015-11-29 16:00:00,"so sad news, Muslims killing each others when our Enemy is watching happily....
May Allah unite our Muslims brothers ",['https://t.co/NMVXeF4XgH'],en,[],[]
1970,War BreakingNews,warrnews,we provide fresh news from every battlefield,world,7152.0,5929.0,2016-01-30 13:00:12,"RT : #Sheikh_Miskeen 
Mujaheeden destroyed a T-72 Tank with TOW in Sa'hiliyya front.",[],en,['@Jaish_AlNassr'],['#Sheikh_Miskeen']
1446,s.o.dawlah,1Dawlah_III,,,632.0,333.0,2016-01-22 22:00:21,"#WilayatSalahuddin
Onion farms in the state of Salahuddin. 📷  ","['https://t.co/mJyfqH6w1y', 'https://t.co/fyDn5BJZEw']",en,[],['#WilayatSalahuddin']
1951,War BreakingNews,warrnews,we provide fresh news from every battlefield,world,7152.0,5929.0,2016-01-30 10:00:31,Iraqi soldier get shot in firefight against #ISIS in ramadi ,['https://t.co/WCpiBBXwPM'],en,[],['#ISIS']
1087,أبو أسامة الصومالي,CXaafada2,Degree from Tableeq(UK) | Masters from Alshabaab(Somalia) | PhD Research Fellow at Islamic State(Yemen). #IslamicState #IslamicPolitics   #Somalia #Yemen,Wilayat Hadramaut,866.0,370.0,2016-01-13 04:00:07,"#Wilayat_Hadramaut: They are the best between myself and them. (Al Mujam Al Kabeer, 11:56) 2/2",[],en,[],['#Wilayat_Hadramaut']
12361,Conflict Reporter,WarReporter1,Reporting on conflicts in the MENA and Asia regions. Not affiliated to any group or movement.,Worldwide contributions,2113.0,1071.0,2016-04-14 01:00:37,RT :  ,['https://t.co/wh4U1Gbscv'],en,"['@TRACterrorism', '@TRACterrorism']",[]
1566,General,ismailmahsud,"Listen! No affiliations, Final year research on conflict studies.Don't suspend Free Thinker| Time Travelling a dream| Against Injustice, Corporations| Fight CO2",S.Wazirstan|Mahsud not a Wazir,392.0,743.0,2016-01-26 05:00:10,It took 4 years to defeat Giant #Germany n 2nd WW. But Y its taking endless time to defeat #ISIS though whole world invaded them?,[],en,[],"['#Germany', '#ISIS']"
924,abdlrhmn,abdlrhmn15,Do And Die only for ISLAM,,24.0,144.0,2016-01-04 16:00:42,RT : ,['https://t.co/FXRxIrf1Xv'],en,['@freeOurSisters1'],[]
1673,Abu_Azzam25,Abu_Azzzam25,,,35.0,118.0,2016-01-27 21:00:34,RT : #Israel Defence Forces are specifically training for Islamic State attacks. ,['https://t.co/xgqxN5AnLc'],en,['@AbuNaseeha_03'],['#Israel']
1397,Mohamed Naseem,NaseemAhmed50,"Journalist ,Seeking and spreading the truth.",Male'. Maldives.,2121.0,4992.0,2016-01-21 10:00:29,"Police ‘powerless’ to stop Abu Haleema.
",['https://t.co/C3E4nzRLXF'],en,[],[]
3,GunsandCoffee,GunsandCoffee70,ENGLISH TRANSLATIONS: http://t.co/QLdJ0ftews,,640.0,49.0,2015-01-06 21:00:37,"ENGLISH TRANSLATION: SHEIKH NASIR AL WUHAYSHI (HA), LEADER OF AQAP: 'THE PROMISE OF VICTORY':  ","['http://t.co/3qg5dKlIwr', 'http://t.co/7bqk1wJAzC']",en,[],[]
8358,JustUkht Maryam,432Mryam,"Kindness is an mark of faith, and whoever is not kind has no faith.",Nowhere,169.0,70.0,2016-03-18 09:00:57,▪️🔷▪️$UPP0RT!!▪️🔷▪️ ,['https://t.co/QAQak0DllD'],en,[],[]
1403,Abu Humayra,abuhumayra4,‏إِنَّ صَلَاتِي وَنُسُكِي وَمَحْيَايَ وَمَمَاتِي لِلَّهِ رَبِّ الْعَالَمِينَ,Among The Muslims,193.0,103.0,2016-01-21 20:00:20,RT : One country is waging war on beards ,['https://t.co/NyHdraj5q7'],en,['@Independent'],[]
1990,Abu Humayra,abuhumayra4,‏إِنَّ صَلَاتِي وَنُسُكِي وَمَحْيَايَ وَمَمَاتِي لِلَّهِ رَبِّ الْعَالَمِينَ,Among The Muslims,193.0,103.0,2016-01-30 16:00:33,"RT : Photo report📷:
Busy street of ad-Dawwasah in #Mosul city, #IslamicState #ISIS #IS #Iraq
Link  https://t.…",['https://t.co/Q8ZEwT26cK'],en,['@apb_is'],"['#Mosul', '#IslamicState', '#ISIS', '#IS', '#Iraq']"
3710,War BreakingNews,warrnews,we provide fresh news from every battlefield,world,6948.0,6265.0,2016-02-10 06:00:12, link please,[],en,['@Pachaconsumer'],[]
1677,Rami,RamiAlLolah,"Real-Time News, Exclusives, Intelligence & Classified Information/Reports from the ME. Forecasted many Israeli strikes in Syria/Lebanon. Graphic content.",Read my blog,29209.0,16688.0,2016-01-27 22:00:01,#BreakingNews #Egypt|ian air forces F-16 jet reportedly crashed near #Ismailia for unknown reasons. Both pilots reportedly killed.,[],en,[],"['#BreakingNews', '#Egypt', '#Ismailia']"
591,abu baker aldimashqi,abubakerdimshqi,,,119.0,273.0,2015-11-17 13:00:20,"RT : Islamic Reminders from Abu Walaa
""10 Causes 4 Allah's love 4 His slave""

#FreeMuslimPrisoners h…",['https://t.co/o5hGxeamVG'],en,['@MuslimPrisoners'],['#FreeMuslimPrisoners']
2046,Al-Battar English,Al_Battar_Engl,,,117.0,144.0,2016-01-30 20:00:11,"#IslamicState
#WilayatAlKhayr
2 #Martydom operations target the #Nuseyri forces #AlHuyiqah &amp; #AlRushdiyah
",['https://t.co/QNOR8lAO8G'],en,[],"['#IslamicState', '#WilayatAlKhayr', '#Martydom', '#Nuseyri', '#AlHuyiqah', '#AlRushdiyah']"
1660,Maisara al-Ghereeb,maisaraghereeb,"Jihad is not terrorism, it's written in the Qur'an.",EU,197.0,1561.0,2016-01-27 20:00:09," in pursuit of knowledge, his desire will not end. And the one who has a strong desire in pursuit of the worldly things,",[],en,['@maisaraghereeb'],[]
14480,wayf44rer,wayf44rerr,News of Maghreb and Mashreq,Nowhere,1248.0,402.0,2016-04-28 19:00:07,RT : Brother of male San Bernardino shooter and two others have been charged with fraud:  …,"['https://t.co/yDqOwFMvUm', 'https://t.co/eiFM5']",en,['@Reuters'],[]
1795,s.o.dawlah,1Dawlah_III,,,632.0,333.0,2016-01-29 12:00:11,"#WilayatSalahuddin 
💥 A glimpse into battle in the west of Samarra against Rafidi militia. 📷  ","['https://t.co/x21PDd3a53', 'https://t.co/BCdkuF417O']",en,[],['#WilayatSalahuddin']
2010,War BreakingNews,warrnews,we provide fresh news from every battlefield,world,7152.0,5929.0,2016-01-30 19:00:10,AQAP in #Yemen (Alqaida) destroyed a very old shrine in #Yemen today.,[],en,[],"['#Yemen', '#Yemen']"
1319,Maisara al-Ghereeb,maisaraghereeb,"Jihad is not terrorism, it's written in the Qur'an.",EU,197.0,1561.0,2016-01-19 20:00:47,Assad's army has been defeated by #IslamicState in #DeirEzzor!! ,['https://t.co/X5jJqWOpAG'],en,[],"['#IslamicState', '#DeirEzzor']"
1112,War Reporter,warreporter2,"Reporting, analysing and discussing conflicts and terrorist movements, with a focus primarily on MENA","München, Deutschland",139.0,656.0,2016-01-13 21:00:27,RT : Did you know? Taghut of Bangladesh arrested 400 Bengali special forces seals for trying to fight bhuddist terrorists http…,[],en,['@DidyouknowVS'],[]
55,IS_BAQIYA,BaqiyaIs,,,25.0,471.0,2015-08-30 13:00:31,tp://t.co/sNAkcqB7MR/s/tFTW,[],en,[],[]
1819,Al-Battar English,Al_Battar_Engl,,,117.0,144.0,2016-01-29 15:00:32,"#WilayatNinawa A Tour in Al-Bursa Market in #Mosul City 

#Caliphate_News",['https://t.co/RfJ3tX9pqT'],en,[],"['#WilayatNinawa', '#Mosul', '#Caliphate_News']"
1391,Mohamed Naseem,NaseemAhmed50,"Journalist ,Seeking and spreading the truth.",Male'. Maldives.,2121.0,4992.0,2016-01-21 08:00:14,RT : She &amp; her entire family just left this world to a better place; thanks to #Russia|n war criminals #DeirEzzor #Syria https:…,[],en,['@RamiAlLolah'],"['#Russia', '#DeirEzzor', '#Syria']"
1571,Mohamed Naseem,NaseemAhmed50,"Journalist ,Seeking and spreading the truth.",Male'. Maldives.,2121.0,4992.0,2016-01-26 06:00:42,"I have 30 new followers from Pakistan, and more last week. See  ","['https://t.co/5KlvSQHAd8', 'https://t.co/THmP5M93Je']",en,[],[]
1351,s.o.dawlah,1Dawlah_III,,,632.0,333.0,2016-01-20 03:00:23,"#WilayatBarqah 
🌈 Nature scenery in the city of Noufaliyyah. 📷  ","['https://t.co/Ll4KteRKqj', 'https://t.co/GOHjLHqTrk']",en,[],['#WilayatBarqah']
1929,Mohamed Naseem,NaseemAhmed50,"Journalist ,Seeking and spreading the truth.",Male'. Maldives.,2121.0,4992.0,2016-01-30 05:00:04,"RT : When #USA is worried about a country it is the time to pray; pray and pray for its people!
#WhiteHouse: We are worried abo…",[],en,['@RamiAlLolah'],"['#USA', '#WhiteHouse']"
1981,War BreakingNews,warrnews,we provide fresh news from every battlefield,world,7152.0,5929.0,2016-01-30 14:00:20,"#Gaza

During a mass funeral for seven Alqassam militants who died after the tunnel in which they were digging... ",['https://t.co/TdzP8bAlRf'],en,[],['#Gaza']
1828,Al-Battar English,Al_Battar_Engl,,,117.0,144.0,2016-01-29 15:00:44,"#AmaqNewsAgency Seven Iraqi soldiers killed by sniper fire in the area of #Zuba south west of #Baghdad yesterday.
#Caliphate_News",[],en,[],"['#AmaqNewsAgency', '#Zuba', '#Baghdad', '#Caliphate_News']"
1328,Abu_Azzam25,Abu_Azzzam25,,,35.0,118.0,2016-01-19 22:00:27,RT : #JihadiJohn or Abu Muharib al-Muhajir appeared in this video one year before the #USA Foley execution video #Syria https:/…,[],en,['@RamiAlLolah'],"['#JihadiJohn', '#USA', '#Syria']"
1442,s.o.dawlah,1Dawlah_III,,,632.0,333.0,2016-01-22 22:00:07,"#IslamicState
#AjnadMediaProduction
Recitation of Surat al-Ma'idah
📌  ","['https://t.co/lJHbOokfYc', 'https://t.co/L6swtZrukK']",en,[],"['#IslamicState', '#AjnadMediaProduction']"
2081,الولاء البراء,Alwala_bara,we hear & we obey..& those are the successful .. [24:51],أسير الدنيا,411.0,232.0,2016-01-31 03:00:46,"Assad regime fires 60 +
rockets into a refugee camp in Latika. 
inna ilayhi wa inna ilayhi raji'un 😢 ",['https://t.co/utCu84YgeY'],en,[],[]
2475,War BreakingNews,warrnews,we provide fresh news from every battlefield,world,7152.0,5929.0,2016-01-31 18:00:44,RT :  ,['https://t.co/IA0m0J2DJO'],en,"['@GreatISNation05', '@warrnews']",[]
12791,☝️,melvynlion,"If you have trust in Allah, you have no need to worry, as one way or another the sun will shine again.!!!",,43.0,137.0,2016-04-17 00:00:19,RT : Seeking religious knowledge for dunya ,['https://t.co/vwCq5SueZV'],en,['@sparksofirhabi3'],[]
124,IS_BAQIYA,BaqiyaIs,,,25.0,471.0,2015-09-05 02:00:31,Syrian apostate sahwat dragging a beheaded corpse of a muslim for the sake of America and Turkey /s/9pvk,['https://t.co/M9NiJOQNY4'],en,[],[]
2074,War BreakingNews,warrnews,we provide fresh news from every battlefield,world,7152.0,5929.0,2016-01-30 23:00:03,RT : Swedish fascists claim responsibility for anti-refugee mob  ,"['https://t.co/9YfIVrPWdD', 'https://t.co/a2ReJ0AEpD']",en,['@telesurenglish'],[]
1689,s.o.dawlah,1Dawlah_III,,,632.0,333.0,2016-01-28 05:00:52,"#MaktabatAlHimmah #Billboard
""Whoever Takes Care of a Fighter’s Family Has Participated in the Battle"". ",['https://t.co/JbHbErqph8'],en,[],"['#MaktabatAlHimmah', '#Billboard']"
7542,Mustafa Al Iraqi,klakishinki,,,1791.0,386.0,2016-03-11 14:00:46,  so mad.,[],en,"['@TheIraqWitness', '@AK47witness__']",[]
11916,Rami,RamiAlLolah,"Real-Time News, Exclusives, Intelligence & Classified Information/Reports from the ME. Forecasted many Israeli strikes in Syria/Lebanon. Graphic content.",Read my blog,34021.0,17807.0,2016-04-11 15:00:10,#BreakingNews 3 Assad's army fighter jets badly damaged in Dumair AB after the fighter jet shot down by #ISIS crashed near by them #Syria,[],en,[],"['#BreakingNews', '#ISIS', '#Syria']"
1721,Bilal Ibn Rabah,BilalIbnRabah1,May Allah bring Sharia to the west and save the people from thier own destruction.,,96.0,44.0,2016-01-28 14:00:13, you can see the pictures of it on telegram.,[],en,['@Raqqa_SL'],[]
12650,Dragontail2,saifulakhir,hater please dont follow,"Singaparna, Indonesia",35.0,243.0,2016-04-15 13:00:04,"GOVERNMENTS AND FAMILIES. THE FINAL DEADLINE WILL BE ON APRIL 25, 2016 AT 3 PM. THE ASG DEMANDS 300M PESOS EACH OF THE THREE MALE HOSTAGES.",[],en,[],[]
1438,s.o.dawlah,1Dawlah_III,,,632.0,333.0,2016-01-22 21:00:56,"#WilayatAlBarakah
📷| Pictures of the northern district of the state of Al-Barakah ",['https://t.co/yBs8H9fwU9'],en,[],['#WilayatAlBarakah']
3590,Abu_Azzam25,Abu_Azzzam25,,,66.0,193.0,2016-02-08 20:00:22,RT :  ,"['https://t.co/byR4gUao3z', 'https://t.co/hyIAALkSIO']",en,['@Scholarsofhaq7'],[]
1916,Abu Muhammad Ashami,06230550_IS,"■ RTs are not Endorsements

■ Changed Kunya

☆Plata O Pomo","England, United Kingdom",57.0,26.0,2016-01-29 23:00:23,Reminds me of the Jews of Quds who are the oppressors &amp; criminals yet feign innocence &amp; act like the victims.Tfuu Aleyk yaa Sahwat Al Ridda,[],en,[],[]
767,Asim Abu Merjem,AsimAbuMerjem,"Servant of Allah, in need of Allah's mercy !!!",,742.0,348.0,2015-12-26 16:00:49,"  Majority od Kurds as KDP Barzanis fight for democracy, PKK, YPG for comunism,",[],en,"['@LaDonnaRae53', '@iyad_elbaghdadi']",[]
1955,War BreakingNews,warrnews,we provide fresh news from every battlefield,world,7152.0,5929.0,2016-01-30 10:00:50,RT : #Breaking highest battalion 1 airbone soldier killed in clashes with #ISIS in east #Aleppo. ,['https://t.co/pfMyeBu4AW'],en,['@Nidalgazaui'],"['#Breaking', '#ISIS', '#Aleppo']"
2067,Marwan Qassami,QassamiMarwan,"Humanitarian, social entrepreneur, Independent media activist. Father of two lovely girls. Nature lover. With a focus on the Middle East, and North Africa.","Antas, Bahia",1593.0,908.0,2016-01-30 20:00:28,"RT : #ISIS executed 5 ""Spies"" They reportedly gave the #USA Coordinations to Strike #ISIS fighters in #Ninawa. …",['https://t.co/P3i'],en,['@Nidalgazaui'],"['#ISIS', '#USA', '#ISIS', '#Ninawa']"
1664,Maisara al-Ghereeb,maisaraghereeb,"Jihad is not terrorism, it's written in the Qur'an.",EU,197.0,1561.0,2016-01-27 20:00:13,RT : #BreakingNews #ISIS opens heavy artillery fire &amp; launched huge attack now on #Assad forces inside Furat al-Sham hotel west…,[],en,['@RamiAlLolah'],"['#BreakingNews', '#ISIS', '#Assad']"
1550,General,ismailmahsud,"Listen! No affiliations, Final year research on conflict studies.Don't suspend Free Thinker| Time Travelling a dream| Against Injustice, Corporations| Fight CO2",S.Wazirstan|Mahsud not a Wazir,392.0,743.0,2016-01-25 18:00:49,"Cryptography (Encryption)
Watch ""The Imitation Game"" movie Interesting.
Nd  u got jealous f #ISIS skills abruptly.Attack happend so?",[],en,['@Snowden'],['#ISIS']
1350,s.o.dawlah,1Dawlah_III,,,632.0,333.0,2016-01-20 03:00:18,"#WilayatBarqah 
Islamic police in the city of Harawah. 📷  ","['https://t.co/Gv2hgQLYeg', 'https://t.co/I7AGjkREcH']",en,[],['#WilayatBarqah']
7787,Mohamed Naseem,NaseemAhmed50,"Journalist ,Seeking and spreading the truth.",Male'. Maldives.,2147.0,5102.0,2016-03-15 11:00:22,RT : ,['https://t.co/csjkWbqvSu'],en,['@7layers_'],[]
1315,War Reporter,warreporter2,"Reporting, analysing and discussing conflicts and terrorist movements, with a focus primarily on MENA","München, Deutschland",139.0,656.0,2016-01-19 18:00:24,RT :  Salam akhi please check it out IA  victory revelations pt 4 #French #Crusade i…,['https://t.co/k9g7EgbSOL'],en,"['@thevictoryseri4', '@LightEpisodesss']","['#French', '#Crusade']"
2045,Abu Naseeha,AbuNaseeha_03,,Wilayah Twitter,1016.0,487.0,2016-01-30 20:00:11,"RT : Photo report📷:
The Islamic Police in Tabqa city, #IslamicState.. #IS #ISIS #Syria
Link  …","['https://t.co/9VxKPusfDA', 'https://t.co/WNK']",en,['@apb_is'],"['#IslamicState', '#IS', '#ISIS', '#Syria']"
1782,الولاء البراء,Alwala_bara,we hear & we obey..& those are the successful .. [24:51],أسير الدنيا,411.0,232.0,2016-01-29 08:00:39, subhanallah their hearts are strong. watch &amp; see these cubs   become lions bithnilah ☝,[],en,['@KafHaYaAinShad_'],[]
1883,War BreakingNews,warrnews,we provide fresh news from every battlefield,world,7152.0,5929.0,2016-01-29 21:00:45,RT : Faylaq Al Sham release map showing their Advance (Blue) today in the first hours of the Offensive northern #Hama https://t…,[],en,['@Nidalgazaui'],['#Hama']
114,IS_BAQIYA,BaqiyaIs,,,25.0,471.0,2015-09-04 16:00:16,":
#IS launched #Katyusha Rockets Against #Peshmerga Barracks In 
#Hawija /s/8UQA",['http://t.co/UHBNrgTQch'],en,['@AK47_PK'],"['#IS', '#Katyusha', '#Peshmerga', '#Hawija']"
1835,Abu Humayra,abuhumayra4,‏إِنَّ صَلَاتِي وَنُسُكِي وَمَحْيَايَ وَمَمَاتِي لِلَّهِ رَبِّ الْعَالَمِينَ,Among The Muslims,193.0,103.0,2016-01-29 16:00:34,RT : Please keep making du'a. She got into another coma. 💔,[],en,['@arbrelotee_'],[]
2042,Abu Naseeha,AbuNaseeha_03,,Wilayah Twitter,1016.0,487.0,2016-01-30 20:00:09,"RT : #WilayatHalab
Examination for masjid imams after attending a religious course in Akhtarin. 📷  https…",['https://t.co/4MP7KsiTqm'],en,['@1Dawlah_III'],['#WilayatHalab']
1481,s.o.dawlah,1Dawlah_III,,,632.0,333.0,2016-01-23 23:00:25,"#WilayatAlAnbar
Nature scenery on the banks of Al-Furat River. 📷  ","['https://t.co/EZZIvznb4V', 'https://t.co/dMXIRwEZs3']",en,[],['#WilayatAlAnbar']
1908,Al-Battar English,Al_Battar_Engl,,,117.0,144.0,2016-01-29 22:00:58," 
2/2
near #Jarabulus after Turkish demining vehicle attempts to enter Islamic State territory",[],en,['@Al_Battar_Engl'],['#Jarabulus']
1527,الولاء البراء,Alwala_bara,we hear & we obey..& those are the successful .. [24:51],أسير الدنيا,411.0,232.0,2016-01-25 07:00:31,"RT : Is Kosovo showing signs of a failed state? VICE News investigates:
 ","['https://t.co/yXb8Zd33lx', 'https://t.co/vZ65JpMhlm']",en,['@vicenews'],[]
1437,Abu Muhammad Ashami,06230550_IS,"■ RTs are not Endorsements

■ Changed Kunya

☆Plata O Pomo","England, United Kingdom",57.0,26.0,2016-01-22 21:00:50,"3.So in the eyes of sahwat and AQ 2.0,a fictitious sin is greater than their blatant Kufr",[],en,[],[]
6760,Ibni Haneefah,_IshfaqAhmad,Medico at GMC Srinagar • Pro-Khilafah • Anti-Democratic • Anti-Nationalistic • Anti-Rafidah • Innocent Bystander of the Conflict in Middle East • Cricketist •,اُمتِ مُسلمہ ولایت کشمیر,1621.0,13494.0,2016-03-04 09:00:49, Turkey.,[],en,['@abooanonymous'],[]
16568,كتكات كوكونت,Uncle_SamCoco,"Here to defend the  American freedom and also the freedom of coconut . Cat Lover or Hater. Kebab Fan . We're all living in America, America ist wunderbar #USA","Texas, USA",1798.0,7028.0,2016-05-11 17:00:29,RT : A good read ,['https://t.co/4BEqUWtGdl'],en,['@SimNasr'],[]
1774,الولاء البراء,Alwala_bara,we hear & we obey..& those are the successful .. [24:51],أسير الدنيا,411.0,232.0,2016-01-29 08:00:09,"RT : 'Fire won't be put out in my heart' until 400,000 Brotherhood members &amp; supporters killed: Egypt's justice minister http…",[],en,['@MiddleEastEye'],[]
749,أبو أسامة الصومالي,CXaafada2,Degree from Tableeq(UK) | Masters from Alshabaab(Somalia) | PhD Research Fellow at Islamic State(Yemen). #IslamicState #IslamicPolitics   #Somalia #Yemen,Wilayat Hadramaut,866.0,370.0,2015-12-26 06:00:19,Weekly updates of military operations of Jamàt Ansar Dine in Maqhribul Islam against French crusaders. ,['https://t.co/Tr377gMjvo'],en,[],[]
1842,Rami,RamiAlLolah,"Real-Time News, Exclusives, Intelligence & Classified Information/Reports from the ME. Forecasted many Israeli strikes in Syria/Lebanon. Graphic content.",Read my blog,29209.0,16688.0,2016-01-29 17:00:50,#ISIS killed 7 &amp; captured 6 #alQaeda-linked Nusra fighters in western #Qalamoun #Lebanon #Syria ,['https://t.co/Ce0PkVJ8zy'],en,[],"['#ISIS', '#alQaeda', '#Qalamoun', '#Lebanon', '#Syria']"
1622,Salahuddin Ayubi,mobi_ayubi,"Journalist, specialize in ongoing war against terrorism.
Retweet is not endorsement.",,693.0,6707.0,2016-01-26 22:00:37,RT : Chief Rabbi calls for executing Palestinians. CNN/FOX/BBC - you there? Deafening silence.  https://t.…,['https://t.co/q2HLHa9XSn'],en,['@CraigCons'],[]
1225,JOIN IS NATION,JoinISNation102,"I'm back for those who miss me :) Follow Spread & Retweet the news of our Great IS Nation of Khilafah & it's conquests 4 the Free World Lovers
☆Sisters no DM☆",,873.0,91.0,2016-01-16 20:00:59,RT : Assholes in my TL refuse to believe SAA massacred 300+ civilians in #DeirEzzor today. They forgot that he massacred 300K+ …,[],en,['@RamiAlLolah'],['#DeirEzzor']
1640,General,ismailmahsud,"Listen! No affiliations, Final year research on conflict studies.Don't suspend Free Thinker| Time Travelling a dream| Against Injustice, Corporations| Fight CO2",S.Wazirstan|Mahsud not a Wazir,392.0,743.0,2016-01-27 13:00:22,"East and West #Ramadi turning to b another mass grave for #Iraq army. Till now 74 soldiers killed since Tuesday. Army r toys? 
#ISIS",[],en,[],"['#Ramadi', '#Iraq', '#ISIS']"
1748,Marwan Qassami,QassamiMarwan,"Humanitarian, social entrepreneur, Independent media activist. Father of two lovely girls. Nature lover. With a focus on the Middle East, and North Africa.","Antas, Bahia",1593.0,908.0,2016-01-28 19:00:37,I think the Islamic state group army is the only army that can stop paying it soldiers for months without any major consequences.,[],en,[],[]
